p,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,3,0
0.002,0,0,0,0,0,0,1,3,2,1,4,3,1,5,3,9,10,13,12,17
0.003,0,0,0,0,2,0,6,4,5,3,9,5,13,28,16,29,35,37,53,70
0.004,0,0,0,0,1,3,2,8,8,20,20,22,34,43,67,61,80,113,111,162
0.005,0,0,0,0,5,9,7,11,24,28,40,40,66,91,115,128,176,210,270,317
0.006,0,0,1,3,5,15,21,28,38,54,74,102,126,163,225,243,300,410,535,586
0.007,0,1,1,2,13,20,30,44,64,75,147,151,226,263,343,426,555,691,855,1078
0.008,0,0,7,5,14,23,34,84,99,140,172,301,333,432,596,745,906,1125,1379,1666
0.009,0,1,5,10,23,34,64,99,138,191,300,430,510,705,848,1089,1397,1740,2192,2666
0.01,0,2,6,20,30,40,94,134,228,300,421,546,750,994,1301,1574,2017,2595,3175,3840
0.011,0,1,5,22,45,66,134,203,280,383,568,789,1067,1350,1856,2268,2848,3610,4380,5143
0.012,0,1,7,24,46,88,157,236,376,541,782,1074,1385,1951,2447,3087,3916,4711,5615,6555
0.013,0,4,14,36,70,112,211,326,505,748,1024,1416,1936,2511,3182,4132,5050,5930,6886,7721
0.014,0,2,14,37,84,153,259,431,662,961,1343,1817,2479,3344,4126,5100,6134,7107,8011,8710
0.015,1,2,13,49,102,190,299,539,805,1225,1707,2363,3017,4081,5048,6094,7304,8100,8829,9325
0.016,0,5,31,75,133,250,429,618,985,1466,2146,2895,3799,4863,6057,7040,8096,8837,9355,9671
0.017,0,7,22,53,164,263,473,825,1256,1822,2613,3598,4604,5834,6961,7958,8747,9338,9687,9886
0.018,1,8,25,70,192,364,584,963,1442,2291,3079,4235,5429,6621,7786,8700,9236,9638,9868,9967
0.019,0,9,27,102,210,420,754,1157,1784,2657,3796,4898,6172,7321,8375,9171,9626,9858,9958,9990
0.02,1,14,41,114,249,493,856,1452,2109,3260,4337,5561,6951,8115,8899,9503,9803,9941,9988,9999
0.021,0,19,56,157,333,583,1029,1686,2538,3641,4922,6328,7600,8633,9317,9702,9904,9980,9997,9998
0.022,2,20,54,175,317,667,1108,1991,2956,4142,5627,7004,8172,9058,9588,9882,9959,9991,9998,10000
0.023,2,20,67,187,389,780,1400,2187,3344,4828,6203,7589,8651,9408,9795,9919,9974,9996,9999,10000
0.024,2,16,83,208,510,923,1608,2647,3811,5319,6835,8152,9071,9625,9879,9976,9997,9999,10000,10000
0.025,0,19,92,218,549,1018,1889,2887,4347,5871,7415,8562,9347,9787,9931,9992,9997,9999,10000,10000
0.026,3,27,89,275,607,1180,2092,3310,4812,6354,7864,8945,9610,9861,9973,9996,10000,10000,10000,10000
0.027,1,25,106,328,695,1360,2375,3611,5260,6953,8275,9216,9750,9924,9990,9996,10000,10000,10000,10000
0.028,5,28,118,342,795,1468,2599,4121,5817,7413,8656,9481,9824,9953,9993,9999,9999,10000,10000,10000
0.029,2,24,151,411,915,1749,2840,4364,6346,7895,8967,9643,9904,9987,9999,9999,10000,10000,10000,10000
0.03,1,48,151,475,1008,1926,3217,4959,6654,8258,9239,9746,9938,9991,9999,10000,10000,10000,10000,10000
0.031,2,42,183,489,1088,2140,3607,5313,7173,8578,9430,9843,9957,9996,10000,10000,10000,10000,10000,10000
0.032,4,33,209,490,1283,2339,3924,5788,7476,8849,9589,9888,9985,9999,9999,10000,10000,10000,10000,10000
0.033,5,49,195,553,1350,2637,4238,6093,7862,9128,9703,9929,9996,10000,10000,10000,10000,10000,10000,10000
0.034,6,54,238,655,1487,2775,4700,6621,8246,9335,9835,9963,9997,10000,10000,10000,10000,10000,10000,10000
0.035,4,52,276,709,1642,3020,4931,6926,8487,9464,9874,9970,9998,10000,10000,10000,10000,10000,10000,10000
0.036,5,60,305,851,1805,3297,5268,7254,8709,9630,9916,9982,9998,10000,10000,10000,10000,10000,10000,10000
0.037,5,66,317,869,1888,3579,5585,7512,8994,9717,9946,9996,10000,10000,10000,10000,10000,10000,10000,10000
0.038,10,86,339,954,2105,3905,5948,7910,9181,9787,9973,9995,10000,10000,10000,10000,10000,10000,10000,10000
0.039,7,96,386,991,2212,4133,6406,8183,9391,9835,9976,9996,10000,10000,10000,10000,10000,10000,10000,10000
0.04,6,96,390,1090,2406,4408,6587,8397,9503,9899,9989,9998,10000,10000,10000,10000,10000,10000,10000,10000
0.041,6,97,443,1229,2567,4647,7013,8680,9578,9934,9991,9999,10000,10000,10000,10000,10000,10000,10000,10000
0.042,6,92,478,1343,2853,4896,7226,8900,9728,9961,9997,9999,10000,10000,10000,10000,10000,10000,10000,10000
0.043,11,109,508,1400,3065,5287,7494,9012,9755,9969,9996,10000,10000,9999,10000,10000,10000,10000,10000,10000
0.044,3,120,538,1563,3277,5542,7746,9218,9827,9977,9997,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.045,9,147,587,1679,3434,5820,7947,9371,9857,9983,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.046,12,167,634,1712,3607,5932,8181,9446,9898,9986,9999,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.047,15,142,657,1813,3955,6291,8433,9543,9936,9997,9999,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.048,10,152,735,1973,4092,6584,8618,9648,9953,9994,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.049,15,201,765,2135,4375,6919,8790,9707,9962,9995,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.05,8,171,780,2223,4500,7062,9021,9771,9981,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.051,13,200,862,2444,4660,7320,9095,9825,9979,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.052,20,213,937,2474,4935,7549,9194,9887,9991,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.053,20,245,957,2551,5122,7786,9310,9891,9986,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.054,17,243,1005,2732,5420,7969,9494,9921,9990,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
0.055,16,246,1099,2888,5689,8147,9515,9931,9997,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
